2017-06-25,3.858920
2017-07-02,3.805340
2017-07-09,4.003400
2017-07-16,4.002000
2017-07-23,3.949500
2017-07-30,3.870500
2017-08-06,3.803000
2017-08-13,3.806500
2017-08-20,3.681500
2017-08-27,3.574500
2017-09-03,3.512500
2017-09-10,3.569000
2017-09-17,3.542500
2017-09-24,3.507000
2017-10-01,3.530000
